timestamp,strategy,variant,pnl,notional,mode,reason
1770851603493,"SYNDICATE","baseline",2.02675116,,"PAPER","TAKE_PROFIT"
1770851664076,"SYNDICATE","baseline",-1.48712435,,"PAPER","STOP_LOSS"
1770851688225,"SYNDICATE","baseline",-1.52987391,,"PAPER","STOP_LOSS"
1770851696822,"SYNDICATE","baseline",-5.83428289,,"PAPER","STOP_LOSS"
